25.03372310,121.43363040,47
25.03256540,121.43407960,201
25.02859460,121.42152300,451
25.04514880,121.39667220,108
25.04862330,121.38615370,367
25.06453960,121.36880100,138
25.06957710,121.37127690,225
25.07589600,121.36411250,126
25.08028630,121.35472740,43
25.08227650,121.35125370,413
25.10358970,121.32848900,421
25.12036440,121.29588740,216
25.11787510,121.26651640,373
25.10358950,121.21239980,1087
25.04066260,121.07253380,80
25.03717590,121.07118510,37
25.03462140,121.07136320,24
25.03342270,121.07224320,48
25.03087430,121.07029610,2435
24.80679730,120.91825030,3329
24.50637730,120.68898160,297
24.48407280,120.67578400,95
24.48337320,120.66874730,607
24.43323810,120.63240050,49
24.43063040,120.62868310,35
24.42765570,120.62603850,15
24.42656250,120.62446520,4
24.42623770,120.62382530,30
24.42401180,120.62033960,149
24.40793580,120.61458850,20
24.40555300,120.61347520,11
24.40427270,120.61263900,96
24.39193990,120.60261450,53
24.39290420,120.59940640,50
24.38933340,120.59671960,97
24.38483510,120.59367480,106
24.37612350,120.59097710,40
24.37273750,120.58773090,23
24.37342620,120.58608480,29
24.37157940,120.58654350,114
24.35858010,120.58487020,30
24.35492700,120.58255860,43
24.35048650,120.57839010,6
24.35011360,120.57802750,18
24.34834830,120.57639500,114
24.33690200,120.57005010,134
24.31687910,120.56388540,235
24.29637930,120.55270140,62
24.29387510,120.55201550,1051
24.19851200,120.51364030,444
24.16115720,120.48698560,1174
24.06970780,120.43843540,194
24.07603530,120.41886060,884
24.01330630,120.38696780,574
23.95743300,120.38189830,653
23.89800390,120.37009450,58
23.89630630,120.36951850,112
23.88874790,120.37167130,150
23.87200240,120.37776200,163
23.85327050,120.37567430,253
23.84754760,120.39986170,534
23.78732530,120.37003240,1267
23.65951360,120.31261420,182
23.64382270,120.31258230,577
23.57787830,120.29818190,168
23.56964460,120.29215720,351
23.52961670,120.28194810,1760
23.34251530,120.25326010,42
23.34008730,120.25074240,61
23.33354540,120.25050210,15
23.33300600,120.24986140,228
23.31112280,120.26392420,354
23.30651640,120.29350500,395
23.26871480,120.31025640,26
23.26903420,120.31302060,79
23.26015540,120.31260650,1303
23.12727710,120.31865920,597
23.09669610,120.35966780,161
23.07877000,120.36797980,457
23.05349990,120.41517270,276
23.04671400,120.44521420,331
23.03258810,120.47508080,880
22.92376860,120.45406960,571
22.89152410,120.48332370,200
22.87917100,120.48312130,897
22.78710110,120.50562550,37
22.78625590,120.50208610,1124
22.72288450,120.61630810,6
22.72270580,120.61615480,198
22.71002510,120.63848730,76
22.70512790,120.63979000,147
22.69667520,120.63042820,2829
22.36872730,120.60714130,2057
22.09048610,120.71744420,295
22.06543070,120.70879340,96
22.05237510,120.70475970,108
22.04306730,120.70126400,27
22.04238040,120.69982040,0
